"PlotVisit","GDM","BIOMASS","PlotID","Date","Latitude","Longitude","PlotYear"
"10.2014-08-29",128.497,253.173,10,2014-08-29,46.57791,-113.82738,"10.2014"
"1016.2015-08-26",38.945,62.456,1016,2015-08-26,46.45785,-113.76855,"1016.2015"
"1017.2015-08-26",49.145,81.431,1017,2015-08-26,46.45856,-113.76639,"1017.2015"
"1018.2015-08-26",14.707,22.606,1018,2015-08-26,46.457755,-113.7694,"1018.2015"
"1019.2015-08-26",56.724,97.063,1019,2015-08-26,46.45834,-113.76865,"1019.2015"
"1020.2015-08-26",22.434,38.824,1020,2015-08-26,46.45783,-113.76779,"1020.2015"
"1022.2015-07-28",27.401,39.505,1022,2015-07-28,46.41864,-113.69937,"1022.2015"
"1023.2015-07-28",9.893,14.433,1023,2015-07-28,46.41848,-113.70033,"1023.2015"
"1026.2015-07-29",37.262,73.55,1026,2015-07-29,46.45065,-113.6879,"1026.2015"
"1028.2015-07-29",55.363,109.279,1028,2015-07-29,46.45114,-113.68591,"1028.2015"
"1034.2015-07-28",17.243,25.922,1034,2015-07-28,46.50418,-113.74872,"1034.2015"
"1035.2015-07-28",49.008,76.781,1035,2015-07-28,46.5065,-113.75257,"1035.2015"
"1036.2015-07-17",46.541,66.843,1036,2015-07-17,46.55299,-113.8561,"1036.2015"
"1037.2015-07-17",22.952,33.011,1037,2015-07-17,46.55295,-113.8577,"1037.2015"
"1038.2015-07-17",56.024,87.641,1038,2015-07-17,46.55197,-113.85443,"1038.2015"
"1039.2015-07-17",25.65,38.613,1039,2015-07-17,46.5524,-113.85568,"1039.2015"
"1040.2015-07-17",8.418,12.046,1040,2015-07-17,46.55205,-113.85761,"1040.2015"
"1041.2015-08-13",134.065,194.958,1041,2015-08-13,46.16954,-113.95236,"1041.2015"
"1042.2015-08-13",48.853,78.617,1042,2015-08-13,46.17253,-113.95476,"1042.2015"
"1043.2015-08-13",0.436,0.623,1043,2015-08-13,46.17142,-113.95269,"1043.2015"
"1044.2015-08-13",150.871,282.637,1044,2015-08-13,46.17376,-113.95651,"1044.2015"
"1045.2015-08-13",65.339,93.991,1045,2015-08-13,46.17096,-113.95475,"1045.2015"
"1046.2015-08-04",3.801,9.434,1046,2015-08-04,46.43477,-113.8822,"1046.2015"
"1047.2015-08-04",1.386,2.276,1047,2015-08-04,46.43317,-113.88142,"1047.2015"
"1048.2015-08-04",21.315,52.899,1048,2015-08-04,46.43445,-113.87841,"1048.2015"
"1049.2015-08-04",30.958,74.579,1049,2015-08-04,46.43217,-113.87627,"1049.2015"
"1051.2015-08-24",48.791,72.303,1051,2015-08-24,46.73847,-113.74313,"1051.2015"
"1052.2015-08-24",105.862,198.417,1052,2015-08-24,46.73826,-113.74399,"1052.2015"
"1053.2015-08-24",344.738,551.413,1053,2015-08-24,46.73917,-113.74344,"1053.2015"
"1055.2015-08-24",97.11,185.826,1055,2015-08-24,46.73906,-113.74414,"1055.2015"
"1057.2015-07-27",14.811,36.759,1057,2015-07-27,46.41428,-113.6487,"1057.2015"
"1059.2015-07-27",12.585,24.899,1059,2015-07-27,46.41322,-113.65273,"1059.2015"
"106.2014-08-22",6.009,11.346,106,2014-08-22,46.69669,-113.75302,"106.2014"
"1061.2015-07-29",25.729,62.617,1061,2015-07-29,46.44749,-113.68022,"1061.2015"
"1063.2015-07-29",28.853,71.577,1063,2015-07-29,46.4474,-113.67847,"1063.2015"
"1065.2015-07-29",14.756,35.714,1065,2015-07-29,46.44672,-113.67832,"1065.2015"
"1071.2015-08-26",20.921,30.096,1071,2015-08-26,46.46227,-113.76657,"1071.2015"
"1072.2015-08-26",25.579,40.986,1072,2015-08-26,46.45983,-113.76781,"1072.2015"
"1073.2015-08-26",33.912,60.266,1073,2015-08-26,46.45919,-113.76843,"1073.2015"
"1074.2015-08-26",67.629,109.826,1074,2015-08-26,46.46082,-113.76708,"1074.2015"
"1075.2015-08-26",45.728,65.188,1075,2015-08-26,46.46345,-113.76576,"1075.2015"
"1076.2015-07-30",225.295,419.007,1076,2015-07-30,46.51913,-113.72901,"1076.2015"
"1078.2015-07-30",65.33,117.002,1078,2015-07-30,46.51959,-113.72647,"1078.2015"
"1079.2015-07-30",55.538,114.935,1079,2015-07-30,46.52,-113.72807,"1079.2015"
"108.2014-08-22",8.351,12.08,108,2014-08-22,46.69677,-113.75497,"108.2014"
"1080.2015-07-30",34.64,64.8,1080,2015-07-30,46.51945,-113.72504,"1080.2015"
"1081.2015-07-28",26.226,41.852,1081,2015-07-28,46.50681,-113.75902,"1081.2015"
"1082.2015-07-28",3.819,5.499,1082,2015-07-28,46.50572,-113.75485,"1082.2015"
"1083.2015-07-28",9.909,15.696,1083,2015-07-28,46.5064,-113.75729,"1083.2015"
"1084.2015-07-28",57.582,86.441,1084,2015-07-28,46.50706,-113.75525,"1084.2015"
"1085.2015-07-28",27.642,40.8,1085,2015-07-28,46.50443,-113.75744,"1085.2015"
"1086.2015-08-03",107.217,173.944,1086,2015-08-03,46.76756,-113.72868,"1086.2015"
"1087.2015-08-03",111.713,181.682,1087,2015-08-03,46.76617,-113.72401,"1087.2015"
"1088.2015-08-03",85.846,145.94,1088,2015-08-03,46.76758,-113.72476,"1088.2015"
"1089.2015-08-03",39.176,61.361,1089,2015-08-03,46.76721,-113.72686,"1089.2015"
"109.2014-08-22",28.943,53.526,109,2014-08-22,46.69764,-113.75593,"109.2014"
"1090.2015-08-03",69.452,102.707,1090,2015-08-03,46.76882,-113.72728,"1090.2015"
"1091.2015-08-07",39.16,58.017,1091,2015-08-07,46.77219,-113.73559,"1091.2015"
"1092.2015-08-07",110.383,170.884,1092,2015-08-07,46.77132,-113.73527,"1092.2015"
"1093.2015-08-07",118.529,199.538,1093,2015-08-07,46.77135,-113.73388,"1093.2015"
"1094.2015-08-07",55.518,100.354,1094,2015-08-07,46.77153,-113.73269,"1094.2015"
"1095.2015-08-07",43.589,69.985,1095,2015-08-07,46.76889,-113.73139,"1095.2015"
"1096.2015-08-11",26.045,37.435,1096,2015-08-11,45.81474,-114.27979,"1096.2015"
"1097.2015-08-11",39.15,56.906,1097,2015-08-11,45.81618,-114.28146,"1097.2015"
"1098.2015-08-11",4.993,7.454,1098,2015-08-11,45.81254,-114.27837,"1098.2015"
"1099.2015-08-11",10.877,15.848,1099,2015-08-11,45.81361,-114.28311,"1099.2015"
"11.2014-08-29",47.623,92.246,11,2014-08-29,46.57806,-113.83122,"11.2014"
"1100.2015-08-11",14.397,22.202,1100,2015-08-11,45.81101,-114.28016,"1100.2015"
"1101.2015-08-11",76.024,135.476,1101,2015-08-11,45.81963,-114.27502,"1101.2015"
"1102.2015-08-11",25.962,38.777,1102,2015-08-11,45.82174,-114.27261,"1102.2015"
"1103.2015-08-11",105.694,155.84,1103,2015-08-11,45.81951,-114.26773,"1103.2015"
"1104.2015-08-11",15.137,23.449,1104,2015-08-11,45.82141,-114.27317,"1104.2015"
"1105.2015-08-11",14.807,22.43,1105,2015-08-11,45.82006,-114.27076,"1105.2015"
"12.2014-08-29",76.591,149.954,12,2014-08-29,46.57597,-113.83202,"12.2014"
"1200.2015-07-16",15.699,24.882,1200,2015-07-16,46.67586,-114.00526,"1200.2015"
"1201.2015-07-16",12.182,19.602,1201,2015-07-16,46.67507,-114.00693,"1201.2015"
"1202.2015-07-16",39.316,60.733,1202,2015-07-16,46.69481,-114.02106,"1202.2015"
"1203.2015-07-16",29.74,48.525,1203,2015-07-16,46.69595,-114.02146,"1203.2015"
"1204.2015-07-16",24.137,36.822,1204,2015-07-16,46.69637,-114.02289,"1204.2015"
"1205.2015-07-16",30.097,46.387,1205,2015-07-16,46.6951,-114.02276,"1205.2015"
"1206.2015-07-16",9.339,14.734,1206,2015-07-16,46.69736,-114.02206,"1206.2015"
"1207.2015-07-31",11.336,18.184,1207,2015-07-31,46.70684,-114.03217,"1207.2015"
"1208.2015-07-31",19.788,31.617,1208,2015-07-31,46.7061,-114.03335,"1208.2015"
"1209.2015-07-31",18.601,29.566,1209,2015-07-31,46.70509,-114.03422,"1209.2015"
"1210.2015-08-27",16.041,25.507,1210,2015-08-27,46.70617,-114.03466,"1210.2015"
"1211.2015-08-27",12.952,20.627,1211,2015-08-27,46.70494,-114.03242,"1211.2015"
"1212.2015-07-21",35.705,55.39,1212,2015-07-21,46.48051,-113.94422,"1212.2015"
"1213.2015-07-21",29.22,46.419,1213,2015-07-21,46.47941,-113.94303,"1213.2015"
"1214.2015-07-21",38.203,60.681,1214,2015-07-21,46.48006,-113.94714,"1214.2015"
"1215.2015-07-21",31.584,48.831,1215,2015-07-21,46.47782,-113.94644,"1215.2015"
"1216.2015-07-21",32.231,50.514,1216,2015-07-21,46.47841,-113.94465,"1216.2015"
"1217.2015-07-31",32.597,51.3,1217,2015-07-31,46.48507,-113.94688,"1217.2015"
"1218.2015-07-31",38.376,60.926,1218,2015-07-31,46.48972,-113.94481,"1218.2015"
"1219.2015-07-31",43.194,68.948,1219,2015-07-31,46.48823,-113.94223,"1219.2015"
"122.2015-07-22",72.074,133.5,122,2015-07-22,46.71025,-113.89076,"122.2015"
"1220.2015-07-31",19.802,32.4,1220,2015-07-31,46.48859,-113.94427,"1220.2015"
"1221.2015-07-31",19.642,30.669,1221,2015-07-31,46.48534,-113.94415,"1221.2015"
"1227.2015-07-22",21.326,32.874,1227,2015-07-22,46.71213,-114.03623,"1227.2015"
"1228.2015-07-22",35.208,54.325,1228,2015-07-22,46.71537,-114.03191,"1228.2015"
"1229.2015-07-22",4.668,7.163,1229,2015-07-22,46.71447,-114.03476,"1229.2015"
"123.2015-07-22",6.444,11.163,123,2015-07-22,46.70776,-113.89333,"123.2015"
"1230.2015-07-22",14.712,23.24,1230,2015-07-22,46.71962,-114.03295,"1230.2015"
"1231.2015-07-22",6.323,11.634,1231,2015-07-22,46.72213,-114.03445,"1231.2015"
"124.2015-07-22",192.858,354.455,124,2015-07-22,46.7101,-113.88985,"124.2015"
"1241.2015-08-05",0.267,0.387,1241,2015-08-05,46.68063,-114.03706,"1241.2015"
"1243.2015-08-05",0.518,0.727,1243,2015-08-05,46.68143,-114.03297,"1243.2015"
"1245.2015-08-31",137.222,211.107,1245,2015-08-31,46.57967,-113.96089,"1245.2015"
"1246.2015-08-31",119.306,183.8,1246,2015-08-31,46.57936,-113.95898,"1246.2015"
"1247.2015-08-24",144.641,204.893,1247,2015-08-24,46.59946,-113.93914,"1247.2015"
"1248.2015-08-24",83.095,124.415,1248,2015-08-24,46.59611,-113.9437,"1248.2015"
"1249.2015-08-24",7.666,11.449,1249,2015-08-24,46.60378,-113.93877,"1249.2015"
"125.2015-07-22",223.348,391.642,125,2015-07-22,46.70846,-113.89109,"125.2015"
"1250.2015-08-24",59.802,85.538,1250,2015-08-24,46.59833,-113.94372,"1250.2015"
"1251.2015-08-24",167.809,240.147,1251,2015-08-24,46.60011,-113.94244,"1251.2015"
"1252.2015-08-31",193.744,271.456,1252,2015-08-31,46.5778,-113.96169,"1252.2015"
"1254.2015-08-03",94.28,136.571,1254,2015-08-03,46.54859,-113.95792,"1254.2015"
"1256.2015-08-03",74.986,108.515,1256,2015-08-03,46.5468,-113.95878,"1256.2015"
"1257.2015-08-03",173.475,251.502,1257,2015-08-03,46.54859,-113.96088,"1257.2015"
"1258.2015-08-27",316.309,448.695,1258,2015-08-27,46.59108,-113.94801,"1258.2015"
"1259.2015-08-27",96.587,148.8,1259,2015-08-27,46.59225,-113.95035,"1259.2015"
"1260.2015-08-17",30.102,43.338,1260,2015-08-17,46.46897,-113.94883,"1260.2015"
"1261.2015-08-17",46.106,67.69,1261,2015-08-17,46.46987,-113.94937,"1261.2015"
"1262.2015-08-17",18.248,25.84,1262,2015-08-17,46.46938,-113.94449,"1262.2015"
"1263.2015-08-17",31.012,44.08,1263,2015-08-17,46.47165,-113.95267,"1263.2015"
"1264.2015-08-17",47.537,68.617,1264,2015-08-17,46.46817,-113.94474,"1264.2015"
"1265.2015-08-27",77.487,109.587,1265,2015-08-27,46.47218,-113.95188,"1265.2015"
"1266.2015-08-27",33.821,47.799,1266,2015-08-27,46.47161,-113.95116,"1266.2015"
"1267.2015-08-27",40.871,56.747,1267,2015-08-27,46.46828,-113.94315,"1267.2015"
"1268.2015-08-31",61.901,87.574,1268,2015-08-31,46.4694,-113.94531,"1268.2015"
"1269.2015-08-31",40.479,55.708,1269,2015-08-31,46.4664,-113.94285,"1269.2015"
"131.2015-08-20",38.661,59.097,131,2015-08-20,46.44442,-113.9044,"131.2015"
"132.2015-08-20",44.607,70.506,132,2015-08-20,46.43963,-113.91031,"132.2015"
"133.2015-08-20",83.752,143.196,133,2015-08-20,46.44043,-113.90961,"133.2015"
"134.2015-08-20",106.781,152.675,134,2015-08-20,46.44423,-113.90306,"134.2015"
"135.2015-08-20",38.012,58.556,135,2015-08-20,46.44241,-113.90115,"135.2015"
"141.2014-08-20",39.145,63.082,141,2014-08-20,46.72977,-113.76678,"141.2014"
"144.2014-08-20",55.208,97.881,144,2014-08-20,46.73064,-113.76451,"144.2014"
"145.2014-08-20",135.391,238.122,145,2014-08-20,46.72842,-113.76938,"145.2014"
"146.2014-07-22",35.197,57.163,146,2014-07-22,46.82685,-113.92958,"146.2014"
"147.2014-07-16",426.112,707.034,147,2014-07-16,46.82719,-113.92465,"147.2014"
"148.2014-07-22",59.066,89.533,148,2014-07-22,46.82853,-113.93294,"148.2014"
"149.2014-07-22",70.837,103.68,149,2014-07-22,46.82486,-113.93153,"149.2014"
"150.2014-07-22",124.17,198.231,150,2014-07-22,46.83824,-113.92753,"150.2014"
"151.2015-08-18",172.708,243.529,151,2015-08-18,46.60257,-113.90403,"151.2015"
"153.2015-08-18",10.262,14.196,153,2015-08-18,46.60326,-113.90753,"153.2015"
"154.2015-08-18",101.286,164.098,154,2015-08-18,46.60359,-113.90408,"154.2015"
"16.2015-07-23",115.07,285.585,16,2015-07-23,46.46618,-113.84541,"16.2015"
"161.2014-08-04",43.767,68.47,161,2014-08-04,46.82724,-113.94535,"161.2014"
"162.2014-08-04",21.019,37.611,162,2014-08-04,46.82912,-113.94309,"162.2014"
"164.2014-08-04",76.551,123.106,164,2014-08-04,46.83067,-113.94137,"164.2014"
"165.2014-08-04",51.227,80.886,165,2014-08-04,46.82622,-113.94515,"165.2014"
"17.2015-07-23",40.353,100.024,17,2015-07-23,46.46541,-113.84467,"17.2015"
"171.2014-08-22",39.973,59.908,171,2014-08-22,46.764,-113.72813,"171.2014"
"172.2014-08-12",12.468,18.44,172,2014-08-12,46.76244,-113.73286,"172.2014"
"173.2014-08-22",39.503,58.773,173,2014-08-22,46.76221,-113.72764,"173.2014"
"174.2014-08-12",35.254,55.399,174,2014-08-12,46.76221,-113.73434,"174.2014"
"175.2014-08-22",102.809,157.366,175,2014-08-22,46.75914,-113.73231,"175.2014"
"176.2015-08-18",12.186,19.127,176,2015-08-18,46.85037,-113.89031,"176.2015"
"179.2015-08-18",40.148,63.063,179,2015-08-18,46.85001,-113.89094,"179.2015"
"18.2015-07-23",106.39,263.785,18,2015-07-23,46.46559,-113.84296,"18.2015"
"19.2015-07-23",40.695,100.76,19,2015-07-23,46.46484,-113.844,"19.2015"
"191.2015-08-04",22.256,51.074,191,2015-08-04,46.50952,-113.85642,"191.2015"
"192.2015-08-04",15.333,34.996,192,2015-08-04,46.51348,-113.86186,"192.2015"
"193.2015-08-04",52.305,105.683,193,2015-08-04,46.50922,-113.85912,"193.2015"
"194.2015-08-03",22.597,42.446,194,2015-08-03,46.51368,-113.85712,"194.2015"
"195.2015-08-04",8.275,19.2,195,2015-08-04,46.51026,-113.85789,"195.2015"
"20.2015-07-21",184.067,341.592,20,2015-07-21,46.75143,-113.88459,"20.2015"
"206.2014-08-26",37.01,89.942,206,2014-08-26,46.76406,-113.88225,"206.2014"
"207.2014-08-26",29.213,68.051,207,2014-08-26,46.75041,-113.88361,"207.2014"
"208.2014-08-26",58.702,138.609,208,2014-08-26,46.76282,-113.88194,"208.2014"
"209.2014-08-26",83.175,155.232,209,2014-08-26,46.76299,-113.87981,"209.2014"
"21.2015-07-21",37.015,52.161,21,2015-07-21,46.74842,-113.88261,"21.2015"
"210.2014-08-26",6.075,11.84,210,2014-08-26,46.75955,-113.88116,"210.2014"
"216.2015-08-03",9.944,14.413,216,2015-08-03,46.71538,-113.74931,"216.2015"
"217.2015-08-03",303.074,597.117,217,2015-08-03,46.71454,-113.74426,"217.2015"
"218.2015-08-03",172.692,321.281,218,2015-08-03,46.71438,-113.7466,"218.2015"
"22.2015-07-21",49.69,85.545,22,2015-07-21,46.75237,-113.88403,"22.2015"
"220.2015-08-03",5654.742,11159.565,220,2015-08-03,46.71367,-113.74107,"220.2015"
"221.2015-08-28",0.132,0.262,221,2015-08-28,46.64315,-113.76135,"221.2015"
"222.2015-08-28",15.836,26.269,222,2015-08-28,46.64297,-113.76458,"222.2015"
"223.2015-08-28",9.132,15.845,223,2015-08-28,46.64416,-113.76387,"223.2015"
"224.2015-08-28",174.356,344.171,224,2015-08-28,46.64323,-113.76298,"224.2015"
"231.2015-08-19",24.786,49.037,231,2015-08-19,46.32373,-113.89344,"231.2015"
"232.2015-08-19",55.208,107.276,232,2015-08-19,46.32465,-113.88433,"232.2015"
"233.2015-08-19",32.8,71.685,233,2015-08-19,46.32622,-113.88708,"233.2015"
"234.2015-08-19",65.385,145.197,234,2015-08-19,46.3257,-113.89254,"234.2015"
"235.2015-08-19",28.673,67.747,235,2015-08-19,46.32475,-113.89033,"235.2015"
"237.2014-08-29",28.219,70.035,237,2014-08-29,46.2986,-113.8753,"237.2014"
"238.2014-08-29",45.708,89.753,238,2014-08-29,46.3009,-113.87283,"238.2014"
"239.2014-08-29",77.188,190.274,239,2014-08-29,46.29751,-113.87439,"239.2014"
"24.2015-07-21",107.244,188.397,24,2015-07-21,46.74804,-113.88482,"24.2015"
"240.2014-08-29",16.024,31.453,240,2014-08-29,46.29958,-113.87552,"240.2014"
"244.2014-07-24",47.789,110.922,244,2014-07-24,46.53373,-113.84006,"244.2014"
"245.2014-07-24",40.685,98.525,245,2014-07-24,46.5352,-113.83706,"245.2014"
"246.2014-07-24",54.332,134.718,246,2014-07-24,46.53429,-113.83549,"246.2014"
"25.2014-08-28",371.773,690.956,25,2014-08-28,46.75571,-113.84053,"25.2014"
"26.2014-08-28",71.186,128.383,26,2014-08-28,46.75592,-113.84168,"26.2014"
"265.2014-07-24",70.177,173.662,265,2014-07-24,46.53503,-113.83635,"265.2014"
"266.2014-07-24",39.706,81.533,266,2014-07-24,46.53437,-113.83934,"266.2014"
"267.2014-07-24",24.878,54.703,267,2014-07-24,46.53641,-113.84325,"267.2014"
"268.2014-07-29",16.567,32.613,268,2014-07-29,46.53565,-113.83601,"268.2014"
"269.2014-07-29",35.146,68.026,269,2014-07-29,46.53553,-113.83736,"269.2014"
"27.2014-08-28",136.974,247.427,27,2014-08-28,46.75481,-113.84254,"27.2014"
"270.2015-08-06",28.83,49.743,270,2015-08-06,46.43407,-113.88264,"270.2015"
"279.2015-08-31",10.451,16.045,279,2015-08-31,46.71571,-114.05119,"279.2015"
"28.2014-08-28",590.156,1098.263,28,2014-08-28,46.75267,-113.84751,"28.2014"
"280.2015-08-31",36.607,56.846,280,2015-08-31,46.71033,-114.04875,"280.2015"
"281.2015-08-21",14.802,23.067,281,2015-08-21,46.70929,-114.04823,"281.2015"
"282.2015-08-21",31.893,48.887,282,2015-08-21,46.71202,-114.05093,"282.2015"
"283.2015-08-21",15.708,24.471,283,2015-08-21,46.71463,-114.05174,"283.2015"
"284.2015-07-16",124.315,187.023,284,2015-07-16,46.67134,-114.04623,"284.2015"
"285.2015-07-16",24.157,37.114,285,2015-07-16,46.67068,-114.04744,"285.2015"
"286.2015-08-17",36.779,53.506,286,2015-08-17,46.56088,-114.09387,"286.2015"
"287.2015-08-17",34.758,51.575,287,2015-08-17,46.55975,-114.09467,"287.2015"
"288.2015-08-17",11.964,17.982,288,2015-08-17,46.56188,-114.09169,"288.2015"
"289.2015-08-17",33.489,50.938,289,2015-08-17,46.56226,-114.08987,"289.2015"
"29.2014-08-28",554.302,1030.153,29,2014-08-28,46.75507,-113.84368,"29.2014"
"291.2014-08-14",47.755,75.312,291,2014-08-14,46.56311,-114.09344,"291.2014"
"293.2015-08-17",66.254,101.551,293,2015-08-17,46.57625,-114.06801,"293.2015"
"294.2014-08-14",2.283,3.631,294,2014-08-14,46.56623,-114.08849,"294.2014"
"300.2014-07-17",134.832,201.446,300,2014-07-17,46.85456,-113.88437,"300.2014"
"301.2014-07-17",71.3,105.52,301,2014-07-17,46.85576,-113.88226,"301.2014"
"302.2014-07-22",20.873,31.879,302,2014-07-22,46.85487,-113.88049,"302.2014"
"303.2014-07-17",131.835,210.613,303,2014-07-17,46.85896,-113.8836,"303.2014"
"304.2014-07-17",39.603,61.638,304,2014-07-17,46.85752,-113.88326,"304.2014"
"305.2014-08-04",53.109,81.538,305,2014-08-04,46.81895,-114.01316,"305.2014"
"306.2014-08-04",140.795,205.163,306,2014-08-04,46.81926,-114.00811,"306.2014"
"307.2014-08-04",40.636,67.634,307,2014-08-04,46.8189,-114.00503,"307.2014"
"308.2014-08-04",17.65,30.834,308,2014-08-04,46.81803,-114.00515,"308.2014"
"309.2014-08-04",41.741,64.723,309,2014-08-04,46.81756,-114.01095,"309.2014"
"310.2014-08-11",23.392,36.56,310,2014-08-11,46.74095,-114.03402,"310.2014"
"311.2014-08-11",20.178,33.332,311,2014-08-11,46.74438,-114.03027,"311.2014"
"312.2014-08-11",37.695,57.251,312,2014-08-11,46.74489,-114.03087,"312.2014"
"313.2014-08-11",43.14,69.227,313,2014-08-11,46.73975,-114.03489,"313.2014"
"314.2014-08-11",18.796,34.674,314,2014-08-11,46.73979,-114.03214,"314.2014"
"315.2014-08-25",55.725,99.695,315,2014-08-25,46.60107,-113.93311,"315.2014"
"316.2014-08-25",28.476,47.94,316,2014-08-25,46.60118,-113.93414,"316.2014"
"318.2014-08-25",42.331,65.894,318,2014-08-25,46.60221,-113.93151,"318.2014"
"319.2014-08-25",16.802,29.435,319,2014-08-25,46.60287,-113.93461,"319.2014"
"325.2014-07-10",51.37,90.135,325,2014-07-10,46.73384,-114.04421,"325.2014"
"325.2015-07-06",18.696,28.8,325,2015-07-06,46.73444,-114.04447,"325.2015"
"326.2014-07-10",28.612,44.409,326,2014-07-10,46.73114,-114.04684,"326.2014"
"326.2015-07-06",11.824,18.84,326,2015-07-06,46.73127,-114.04739,"326.2015"
"327.2014-08-12",18.317,31.62,327,2014-08-12,46.73249,-114.04685,"327.2014"
"328.2014-08-12",16.585,30.667,328,2014-08-12,46.73017,-114.0434,"328.2014"
"329.2014-08-12",19.962,33.551,329,2014-08-12,46.73307,-114.04445,"329.2014"
"330.2014-07-23",21.596,32.76,330,2014-07-23,46.67785,-113.9848,"330.2014"
"331.2014-07-21",16.159,29.289,331,2014-07-21,46.67797,-113.99229,"331.2014"
"332.2014-07-23",28.593,44.085,332,2014-07-23,46.67725,-113.9901,"332.2014"
"333.2014-07-23",88.674,150.635,333,2014-07-23,46.67916,-113.99017,"333.2014"
"334.2014-07-23",29.603,47.955,334,2014-07-23,46.67994,-113.98594,"334.2014"
"335.2014-07-21",48.284,84.288,335,2014-07-21,46.58601,-113.91708,"335.2014"
"336.2014-07-21",76.624,113.997,336,2014-07-21,46.58572,-113.91917,"336.2014"
"337.2014-07-21",26.608,44.338,337,2014-07-21,46.58648,-113.92349,"337.2014"
"338.2014-07-21",51.856,84.8,338,2014-07-21,46.58517,-113.91833,"338.2014"
"339.2014-07-21",38.027,58.319,339,2014-07-21,46.58248,-113.91828,"339.2014"
"340.2014-07-10",48.286,75.95,340,2014-07-10,46.84137,-113.96417,"340.2014"
"340.2015-07-06",25.461,40.323,340,2015-07-06,46.84105,-113.96443,"340.2015"
"341.2014-08-13",58.07,89.542,341,2014-08-13,46.83897,-113.96428,"341.2014"
"342.2014-08-13",69.669,101.841,342,2014-08-13,46.84326,-113.96555,"342.2014"
"343.2014-08-13",91.904,133.405,343,2014-08-13,46.84142,-113.96652,"343.2014"
"344.2014-07-10",30.078,46.997,344,2014-07-10,46.84121,-113.96613,"344.2014"
"344.2015-07-06",38.039,56.45,344,2015-07-06,46.84121,-113.96624,"344.2015"
"345.2015-07-23",33.365,52.547,345,2015-07-23,46.74979,-113.9958,"345.2015"
"346.2015-07-23",17.351,26.886,346,2015-07-23,46.74811,-113.99476,"346.2015"
"347.2015-07-23",19.061,29.265,347,2015-07-23,46.74886,-113.99039,"347.2015"
"348.2015-07-23",15.034,23.664,348,2015-07-23,46.774878,-113.99663,"348.2015"
"349.2015-07-23",38.461,58.658,349,2015-07-23,46.74932,-113.99974,"349.2015"
"35.2015-08-20",22.246,31.38,35,2015-08-20,46.75543,-113.89018,"35.2015"
"359.2014-07-23",62.831,104.146,359,2014-07-23,46.54897,-113.92075,"359.2014"
"36.2015-08-20",32.245,49.906,36,2015-08-20,46.75427,-113.89183,"36.2015"
"360.2014-07-23",49.066,86.323,360,2014-07-23,46.54829,-113.91525,"360.2014"
"361.2014-07-23",4.394,6.747,361,2014-07-23,46.54881,-113.91163,"361.2014"
"362.2014-07-23",30.725,48.109,362,2014-07-23,46.54768,-113.91892,"362.2014"
"363.2014-07-23",28.978,45.907,363,2014-07-23,46.55149,-113.91377,"363.2014"
"364.2014-07-09",25.622,41.424,364,2014-07-09,46.53983,-113.90572,"364.2014"
"364.2015-07-07",35.482,55.604,364,2015-07-07,46.53964,-113.90565,"364.2015"
